,entity,code,year,per_capita_plastic_waste,gdp_per_capita,population
596,Albania,ALB,2010,0.069,10751.421,2913402.0
855,Algeria,DZA,2010,0.144,11007.747,35856348.0
1487,Angola,AGO,2010,0.062,7691.1313,23364196.0
1746,Anguilla,AIA,2010,0.252,19469.4,13192.0
1871,Antigua and Barbuda,ATG,2010,0.66,18702.09,85710.0
2130,Argentina,ARG,2010,0.183,23521.27,41100124.0
2648,Aruba,ABW,2010,0.252,33639.395,100354.0
3089,Australia,AUS,2010,0.112,44965.395,22019166.0
3868,Bahamas,BHS,2010,0.39,34688.094,373277.0
4127,Bahrain,BHR,2010,0.132,45600.066,1213655.0
4386,Bangladesh,BGD,2010,0.034,3395.3647,148391136.0
4645,Barbados,BRB,2010,0.57,16019.508,274717.0
5160,Belgium,BEL,2010,0.08,47972.56,10877948.0
5419,Belize,BLZ,2010,0.172,8988.865,322115.0
5678,Benin,BEN,2010,0.043,2634.1348,9445716.0
5937,Bermuda,BMU,2010,0.252,88399.914,63466.0
6615,Bosnia and Herzegovina,BIH,2010,0.144,10637.086,3811093.0
7134,Brazil,BRA,2010,0.165,14824.741,196353504.0
7475,Brunei,BRN,2010,0.026,66484.24,396064.0
7734,Bulgaria,BGR,2010,0.154,18163.873,7592271.0
8511,Cambodia,KHM,2010,0.066,2706.9917,14363534.0
8770,Cameroon,CMR,2010,0.046,3298.6245,19878044.0
9029,Canada,CAN,2010,0.093,44861.523,33963416.0
9288,Cape Verde,CPV,2010,0.065,5860.4985,521219.0
9521,Cayman Islands,CYM,2010,0.252,70095.9,54095.0
10119,Chile,CHL,2010,0.119,21225.104,17004166.0
10378,China,CHN,2010,0.121,8884.588,1348191360.0
10641,Colombia,COL,2010,0.144,11890.203,44816104.0
10900,Comoros,COM,2010,0.201,3025.5173,656032.0
11140,Congo,COG,2010,0.069,4977.973,4437883.0
11484,Costa Rica,CRI,2010,0.258,16667.016,4622250.0
11743,Cote d'Ivoire,CIV,2010,0.103,3673.1814,21120040.0
12002,Croatia,HRV,2010,0.252,24590.521,4368680.0
12520,Curacao,CUW,2010,0.252,27527.49,159392.0
12592,Cyprus,CYP,2010,0.248,38405.41,1129693.0
13195,Democratic Republic of Congo,COD,2010,0.045,841.85626,66391260.0
13454,Denmark,DNK,2010,0.047,50825.414,5550850.0
13972,Dominica,DMA,2010,0.149,12335.11,68775.0
14229,Dominican Republic,DOM,2010,0.144,12677.018,9775756.0
14788,Ecuador,ECU,2010,0.147,10355.822,14989581.0
15047,Egypt,EGY,2010,0.178,9807.836,87252416.0
15306,El Salvador,SLV,2010,0.147,7412.978,6114039.0
15565,Equatorial Guinea,GNQ,2010,0.144,29944.262,1094538.0
16083,Estonia,EST,2010,0.176,26015.746,1331535.0
17755,Fiji,FJI,2010,0.189,10019.412,905176.0
18005,Finland,FIN,2010,0.234,45874.66,5363279.0
18264,France,FRA,2010,0.192,42145.684,62444568.0
18729,Gabon,GAB,2010,0.054,13682.848,1711117.0
18988,Gambia,GMB,2010,0.048,2172.1938,1937284.0
19247,Georgia,GEO,2010,0.068,9736.732,3836834.0
19506,Germany,DEU,2010,0.485,46999.24,81325088.0
19765,Ghana,GHA,2010,0.04,3709.3958,25574722.0
20098,Greece,GRC,2010,0.2,33693.21,11033784.0
20461,Grenada,GRD,2010,0.325,12493.885,114058.0
20926,Guatemala,GTM,2010,0.28,7335.989,14543126.0
21259,Guinea,GIN,2010,0.03,1856.4902,10270728.0
21518,Guinea-Bissau,GNB,2010,0.054,1697.4956,1567226.0
21777,Guyana,GUY,2010,0.586,9831.81,747937.0
22036,Haiti,HTI,2010,0.09,2932.279,9842883.0
22558,Honduras,HND,2010,0.189,4790.1094,8450936.0
22817,Hong Kong,HKG,2010,0.398,51359.81,7132437.0
23335,Iceland,ISL,2010,0.281,47457.62,318346.0
23594,India,IND,2010,0.01,4213.363,1240613632.0
23853,Indonesia,IDN,2010,0.057,8212.635,244016176.0
24112,Iran,IRN,2010,0.144,15099.46,75373864.0
24371,Iraq,IRQ,2010,0.103,8178.305,31264880.0
24630,Ireland,IRL,2010,0.43,53500.914,4524581.0
24963,Israel,ISR,2010,0.297,34065.844,7328439.0
25222,Italy,ITA,2010,0.134,42664.355,59822452.0
25481,Jamaica,JAM,2010,0.034,9700.027,2733904.0
25733,Japan,JPN,2010,0.171,38069.957,128105432.0
26066,Jordan,JOR,2010,0.144,11866.881,6931263.0
26584,Kenya,KEN,2010,0.027,3735.793,41517896.0
26843,Kiribati,KIR,2010,0.103,1819.2013,108011.0
27140,Kuwait,KWT,2010,0.686,59780.03,2943364.0
28021,Latvia,LVA,2010,0.124,21173.402,2101537.0
28280,Lebanon,LBN,2010,0.094,19239.564,4995799.0
28798,Liberia,LBR,2010,0.084,1418.6758,4019958.0
29057,Libya,LBY,2010,0.144,31394.162,6491991.0
29575,Lithuania,LTU,2010,0.132,23942.76,3139021.0
30611,Macao,MAC,2010,0.368,114042.49,557307.0
30695,Madagascar,MDG,2010,0.016,1511.9867,21731052.0
31213,Malaysia,MYS,2010,0.198,20171.88,28717728.0
31472,Maldives,MDV,2010,0.322,16492.531,361579.0
31953,Malta,MLT,2010,0.214,32916.684,418758.0
32212,Marshall Islands,MHL,2010,0.192,3767.676,53431.0
32552,Mauritania,MRT,2010,0.045,4773.7524,3419462.0
32811,Mauritius,MUS,2010,0.23,17311.625,1283347.0
33142,Mexico,MEX,2010,0.087,18036.717,112532400.0
33401,Micronesia (country),FSM,2010,0.103,3500.2952,107606.0
34428,Montenegro,MNE,2010,0.144,16767.357,631048.0
34762,Morocco,MAR,2010,0.073,5841.8784,32464866.0
35021,Mozambique,MOZ,2010,0.015,1047.5914,23073732.0
35280,Myanmar,MMR,2010,0.075,2830.284,49390988.0
35540,Namibia,NAM,2010,0.144,9115.507,2099275.0
35799,Nauru,NRU,2010,0.144,6536.3325,10262.0
36280,Netherlands,NLD,2010,0.424,52032.99,16617121.0
36720,New Zealand,NZL,2010,0.331,37583.113,4346345.0
36957,Nicaragua,NIC,2010,0.143,4586.874,5855736.0
37475,Nigeria,NGA,2010,0.103,4857.266,160952864.0
38764,Norway,NOR,2010,0.28,61353.477,4889747.0
39354,Oman,OMN,2010,0.084,40819.938,2881915.0
39613,Pakistan,PAK,2010,0.103,4058.0085,194454496.0
39872,Palau,PLW,2010,0.144,14744.528,18563.0
40094,Palestine,PSE,2010,0.063,5411.0664,3992283.0
40316,Panama,PAN,2010,0.145,21455.684,3623622.0
40575,Papua New Guinea,PNG,2010,0.103,3283.715,7583269.0
41094,Peru,PER,2010,0.144,9996.9375,29229576.0
41353,Philippines,PHL,2010,0.075,5876.478,94636704.0
41613,Poland,POL,2010,0.097,23692.91,38597356.0
41872,Portugal,PRT,2010,0.265,31798.154,10588401.0
42131,Puerto Rico,PRI,2010,0.252,32960.7,3717920.0
42251,Qatar,QAT,2010,0.16,103902.516,1713512.0
42610,Romania,ROU,2010,0.042,20419.188,20335212.0
42869,Russia,RUS,2010,0.112,23961.22,143242592.0
43547,Saint Kitts and Nevis,KNA,2010,0.654,24572.832,47429.0
43795,Saint Lucia,LCA,2010,0.522,14448.265,170950.0
44238,Saint Vincent and the Grenadines,VCT,2010,0.221,11606.397,109324.0
44487,Samoa,WSM,2010,0.103,5808.3037,194686.0
44958,Sao Tome and Principe,STP,2010,0.103,3324.9163,182154.0
45217,Saudi Arabia,SAU,2010,0.156,41056.547,29411930.0
45477,Senegal,SEN,2010,0.103,2830.1533,12530128.0
46056,Seychelles,SYC,2010,0.358,21322.54,92424.0
46278,Sierra Leone,SLE,2010,0.041,1401.5741,6436699.0
46537,Singapore,SGP,2010,0.194,78115.21,5163585.0
46796,Sint Maarten (Dutch part),SXM,2010,0.252,43543.89,33056.0
47127,Slovenia,SVN,2010,0.145,33350.613,2057294.0
47386,Solomon Islands,SLB,2010,0.103,2411.071,540402.0
47905,South Africa,ZAF,2010,0.24,13469.361,51784928.0
48456,South Korea,KOR,2010,0.112,34394.492,48813036.0
48940,Spain,ESP,2010,0.277,37298.47,46572776.0
49199,Sri Lanka,LKA,2010,0.357,9440.672,20668556.0
49490,Sudan,SDN,2010,0.103,4745.2974,33739932.0
49749,Suriname,SUR,2010,0.163,18255.625,546085.0
50061,Sweden,SWE,2010,0.048,47791.37,9381722.0
51356,Tanzania,TZA,2010,0.023,1972.9811,45110532.0
51615,Thailand,THA,2010,0.144,14172.218,68270488.0
51874,Togo,TGO,2010,0.057,1588.3982,6571862.0
52210,Tonga,TON,2010,0.223,5002.6323,107401.0
52461,Trinidad and Tobago,TTO,2010,0.29,27329.424,1410297.0
52705,Tunisia,TUN,2010,0.144,10477.304,10895063.0
52964,Turkey,TUR,2010,0.212,19790.068,73195352.0
53589,Tuvalu,TUV,2010,0.144,3334.6072,10570.0
54301,Ukraine,UKR,2010,0.103,12221.44,45683024.0
54560,United Arab Emirates,ARE,2010,0.199,54664.613,8481775.0
54819,United Kingdom,GBR,2010,0.215,42270.434,62760048.0
55078,United States,USA,2010,0.335,54516.855,311182848.0
55709,Uruguay,URY,2010,0.252,19331.85,3352653.0
56227,Vanuatu,VUT,2010,0.295,2972.3171,245464.0
56937,Vietnam,VNM,2010,0.103,6324.526,87411016.0
